URL,ALLOWABLE
https://www.tamuk.edu/artsci/_files_COAS/CSDO/GradProgramFiles/ClinicManual10-12-2023.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/CSDO/UndgergradProgramFiles/2018-2019-undergraduate-catalog.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/Lang/Student-Newsletter-2019.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/Lang/wgst/Tapestry_2016.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/Lang/wgst/Tapestry_2017.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/Lang/wgst/Tapestry_2018.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/museum/2019-NHD-Theme-Book.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/museum/Contest-Rule-Book_English.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/phge/g/geo_newsletter08_MAR.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/phge/g/geo_newsletter11_jan.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/phge/g/Geo_newsletter12_Dec.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/phge/g/Geo_newsletter13_Sep.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/phge/g/Geo_newsletter14_Dec.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/phge/g/newsletter_Dec20.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/pysc/javelina-undergraduate-research-journal.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/pysc/Sociology-Graduate-Program-Courses-Requirements-2019.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/agency/NEW-Field-Practicum-Student-Evaluation-29JUL20152015EPAS.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/Aggregate-Data-for-BSW-Program-2018-2019.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/Assessment-of-Student-Learning-Outcomes-BSW--Spring-2018.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/BSW-Program-Outcomes-2019-2020.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/Student-Learning-Outcomes.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/Student-Learning-Plan-20JUL20162015EPAS.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/TAMUK-BSW-Application_REVISED_3_8_2022.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/TAMUKBSWApplicationRevised05-01-2018.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/TAMUKBSWApplicationRevised05-01-20181.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/TAMUKBSWStudentHandbookRevisedSept2019.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/BSW/TAMUKBSWStudentHandbookRevisedSept20191.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/2020-2021Assessment.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/agency-forms/MSW-Generalist-Year-Field-Practicum-Student-Evaluation-20MAY2018.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/agency-forms/MSW-Specialization-Year-Field-Practicum-Student-Evaluation-20MAY2018.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/AS-4-M-Hybrid-1.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/AS-M-F2F.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/AssmentDataMasters.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/MSW-Application-Packet-2020.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/MSW-Field-Handbook-2020.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/MSW-Field-Manual-2020.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/MSW-Field-Manual-March2019.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/MSWFieldManualAug2021.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/student-forms/MSW-Specialization-Year-Student-Learning-Plan.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/scwk/MSW/student-forms/MSW-Student-Generalist-Year-Learning-Plan.docx,Yes
https://www.tamuk.edu/business/about-COB/Assessment-Terms.html,Yes
https://www.tamuk.edu/business/about-COB/benefits-guidelines.html,Yes
https://www.tamuk.edu/business/about-COB/mission-vision.html,Yes
https://www.tamuk.edu/business/about-COB/news/faculty-accomplishments.html,Yes
https://www.tamuk.edu/business/about-COB/news/who.html,Yes
https://www.tamuk.edu/business/graduate/Graduate-Elective-Course-Descriptions.html,Yes
https://www.tamuk.edu/business/researchoutreach/Scholarly-Works.html,Yes
https://www.tamuk.edu/business/undergraduate/StepsToSuccess.html,Yes
https://www.tamuk.edu/business/_files_COB/BJ17_compressed.pdf,Yes
https://www.tamuk.edu/business/_files_COB/College-of-Business-Administration-2018-2022-strategic-plan.pdf,Yes
https://www.tamuk.edu/business/_files_COB/ECON-booklet-13.pdf,Yes
https://www.tamuk.edu/business/_files_COB/ECON-booklet.pdf,Yes
https://www.tamuk.edu/business/_files_COB/ECON_booklet_2016.pdf,Yes
https://www.tamuk.edu/business/_files_COB/Fall_14_ECON_book.pdf,Yes
https://www.tamuk.edu/business/_files_COB/Marketable-skills-BBA-majorsREVISED.pdf,Yes
https://www.tamuk.edu/business/_files_COB/MBA-Learning-Outcomes2019.pdf,Yes
https://www.tamuk.edu/business/_files_COB/PRME_Report.pdf,Yes
https://www.tamuk.edu/business/_files_COB/STEPS.pdf,Yes
https://www.tamuk.edu/business/_files_COB/Strategic-Plan-Fall-2024.pdf,Yes
https://www.tamuk.edu/careerengagement/TAMUK-Student-Employment-Evaluation-Spring-2024.pdf,Yes
https://www.tamuk.edu/commencement/_docs_commencement/2023-Spring-Commencement.pdf,Yes
https://www.tamuk.edu/compliance/export-controls.html,Yes
https://www.tamuk.edu/compliance/links/faq.html,Yes
https://www.tamuk.edu/compliance/_EC_documents/Phase_3_Research.pdf,Yes
https://www.tamuk.edu/compliance/_EC_documents/TAMUK-Export_Controls_Manual.pdf,Yes
https://www.tamuk.edu/compliance/_files/reaffirmation/reaffirmation2019-tamus.pdf,Yes
https://www.tamuk.edu/compliance/_files/reaffirmation/ReaffirmationStatement-TAMUS2022.pdf,Yes
https://www.tamuk.edu/compliance/_files/title-IX/AdvisorTraining-August2020.pdf,Yes
https://www.tamuk.edu/compliance/_files/title-IX/Basic-Mediation-Training-July-2023.pdf,Yes
https://www.tamuk.edu/compliance/_files/title-IX/ConflictResolutionFacilitationBridgeTrainingMay2021.pdf,Yes
https://www.tamuk.edu/compliance/_files/title-IX/Investigator-Training-June-6-8-2023.pdf,Yes
https://www.tamuk.edu/compliance/_files/title-IX/InvestigatorTraining-August2020.pdf,Yes
https://www.tamuk.edu/compliance/_files/title-IX/InvestigatorTrainingJanuary2021.pdf,Yes
https://www.tamuk.edu/compliance/_files/title-IX/OfficeofComplianceTrainings.pdf,Yes
https://www.tamuk.edu/compliance/_files/title-IX/TitleIXandSystemRegulationTraining-August2020.pdf,Yes
https://www.tamuk.edu/coronavirus/_files_coronavirus/00363900_HEERF_Q12023_04072023.pdf,Yes
https://www.tamuk.edu/coronavirus/_files_coronavirus/00363900_HEERF_Q12024-04102024.pdf,Yes
https://www.tamuk.edu/coronavirus/_files_coronavirus/00363900_HEERF_Q22022_070822.pdf,Yes
https://www.tamuk.edu/coronavirus/_files_coronavirus/00363900_HEERF_Q22023_070723.pdf,Yes
https://www.tamuk.edu/coronavirus/_files_coronavirus/00363900_HEERF_Q32022-100522.pdf,Yes
https://www.tamuk.edu/coronavirus/_files_coronavirus/00363900_HEERF_Q32023-101023.pdf,Yes
https://www.tamuk.edu/coronavirus/_files_coronavirus/00363900_HEERF_Q42022-010323.pdf,Yes
https://www.tamuk.edu/coronavirus/_files_coronavirus/00363900_HEERF_Q42023-011024.pdf,Yes
https://www.tamuk.edu/dean/dean_files/cleryreport.pdf,Yes
https://www.tamuk.edu/dean/dean_files/Student-Organization-Handbook.docx,Yes
https://www.tamuk.edu/dean/dean_files/studenthandbook.pdf,Yes
https://www.tamuk.edu/digitalsignage/locations/msub/welc/welc_ds.pdf,Yes
https://www.tamuk.edu/education/departments/counseling/organizations.html,Yes
https://www.tamuk.edu/education/departments/tbed/graduateprogram.html,Yes
https://www.tamuk.edu/education/_assets_COED/CG_HomeBlocks/CG-Program-Objectives.pdf,Yes
https://www.tamuk.edu/education/_files_COED/01182024.Clinical-Students_Handbook.pdf,Yes
https://www.tamuk.edu/education/_files_COED/01182024.Clinical-Students_Handbook1.pdf,Yes
https://www.tamuk.edu/education/_files_COED/01182024.Clinical-Supervisor-Handbook.pdf,Yes
https://www.tamuk.edu/education/_files_COED/18-Characteristics-EdD-TX-AM-Kingsville-2018-2021-Final.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2015.EDLC.18Characteristics.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2016.TBED.CharacteristicsofTexasDoctoralPrograms.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2017.TBED.Undergraduate.Interdisciplinary.DegreePlan.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2018.60hoursdegreeplan.docx,Yes
https://www.tamuk.edu/education/_files_COED/2018.CG.CounselingAssessmentHandbook.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2018.CG.Syllabus.EDCG5310.ProfessionalOrientation.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2018.CG.Syllabus.EDCG5315.Ethics.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2018.CG.Syllabus.EDCG5321.Abnormal.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2018.CG.Syllabus.EDCG5322.SubstanceAbuse.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2018.CG.Syllabus.EDCG5329.Research.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2018.CG.Syllabus.EDCG5339.HumanGrowth.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2018.CG.Syllabus.EDCG5341.Diagnosis.pdf,Yes
https://www.tamuk.edu/education/_files_COED/2018.CG.Syllabus.EDCG5341.Marriage.pdf,Yes
